p_val,avg_log2FC,pct.1,pct.2,p_val_adj,expression
1.46811926607516e-17,0.82838440239187,0.53,0.282,3.1548414908689e-13,Unchanged
1.56851947206558e-17,0.511171185820062,0.93,0.815,3.37059149352172e-13,Unchanged
2.21518314995993e-17,0.490772701747578,0.722,0.727,4.7602070709489e-13,Unchanged
2.3665253255621e-17,0.251867210492597,0.591,0.477,5.0854262721004e-13,Unchanged
4.03100165365051e-17,0.255282034953527,0.522,0.438,8.66221945352958e-13,Unchanged
4.11850221731393e-17,1.07595832033121,1,0.856,8.8502494147859e-13,Unchanged
5.49203113677181e-17,0.254758509847493,0.591,0.474,1.18018257098089e-12,Unchanged
6.75009284343886e-17,-0.230464357587377,0.904,0.915,1.45052745112658e-12,Unchanged
6.99035387962221e-17,0.333798557131163,0.583,0.39,1.50215714519202e-12,Unchanged
9.92668477085924e-17,-0.237789723722196,0.948,0.973,2.13314529040994e-12,Unchanged
2.0633893740612e-16,0.587773512876472,0.93,0.771,4.43401742592011e-12,Unchanged
3.70315013614024e-16,0.290706030859087,0.435,0.331,7.95769932755176e-12,Unchanged
4.1648492357739e-16,0.0119450580912499,0.704,0.734,8.94984452275454e-12,Unchanged
5.02857031738254e-16,0.0747079035085558,0.713,0.63,1.08058947550233e-11,Unchanged
6.01615746202714e-16,-0.370362920716176,1,1,1.29281207701501e-11,Unchanged
6.31919570871804e-16,0.282914300471337,0.391,0.308,1.35793196584642e-11,Unchanged
6.56148491593795e-16,1.68695048787304,0.904,0.447,1.40999749358591e-11,Up-regulated
7.2623968002301e-16,0.38513191552844,0.443,0.285,1.56061644840145e-11,Unchanged
1.23216246794524e-15,0.331994446137184,0.539,0.434,2.64779392736752e-11,Unchanged
1.64961249357729e-15,-0.0509142469595887,0.774,0.76,3.54485228744823e-11,Unchanged
2.19047138995904e-15,0.351573570358383,0.73,0.573,4.70710396988299e-11,Unchanged
2.36524150295731e-15,-1.87333672062836,0.209,0.642,5.08266746570496e-11,Down-regulated
2.88213617725602e-15,0.0786597531127735,0.696,0.671,6.19342243130545e-11,Unchanged
2.98942091756381e-15,0.238386057951731,0.583,0.455,6.42396660975287e-11,Unchanged
3.25478738486806e-15,0.0188286343170789,0.635,0.656,6.99421261134297e-11,Unchanged
3.73174865231261e-15,0.8609424875672,0.713,0.346,8.01915467895456e-11,Unchanged
3.94274655223381e-15,1.04309938776558,0.687,0.458,8.47256806609522e-11,Unchanged
4.16566938049982e-15,0.565239418353956,0.452,0.208,8.95160693175606e-11,Unchanged
4.1959822272541e-15,-2.21841895373136,0.104,0.487,9.01674620814633e-11,Down-regulated
4.6221779106122e-15,0.24638425989052,0.478,0.341,9.93259811211456e-11,Unchanged
4.64969499933194e-15,0.050164980730755,0.6,0.518,9.99172958406442e-11,Unchanged
5.2107696187071e-15,-0.0336932750145618,0.87,0.88,1.11974228336397e-10,Unchanged
5.34480276011511e-15,1.43531277921304,0.583,0.172,1.14854466512114e-10,Unchanged
6.73531476682745e-15,1.55513546690894,0.774,0.472,1.44735179024355e-10,Up-regulated
7.07595540535746e-15,0.126367481063988,0.557,0.423,1.52055205705726e-10,Unchanged
7.28371010552263e-15,0.115817088400137,0.461,0.425,1.56519646457576e-10,Unchanged
7.50286087458998e-15,-0.0582720907784955,0.757,0.747,1.61228977334064e-10,Unchanged
9.41588641489465e-15,0.0136499919952866,0.696,0.666,2.02337983169671e-10,Unchanged
1.04657282805756e-14,-0.174597508140027,0.8,0.821,2.24898035021289e-10,Unchanged
1.09877435250617e-14,0.237006765748982,0.539,0.5,2.36115620610051e-10,Unchanged
1.24415014712192e-14,0.319329359499733,0.783,0.823,2.67355425115029e-10,Unchanged
1.6714551020222e-14,0.253899571549901,0.652,0.638,3.5917898687355e-10,Unchanged
1.79279976671393e-14,0.171962382580508,0.452,0.418,3.85254741869155e-10,Unchanged
1.91252839364611e-14,0.176724655795216,0.635,0.572,4.10983226510613e-10,Unchanged
3.4475453047405e-14,0.0460161724326651,0.591,0.55,7.40843010535685e-10,Unchanged
3.62893984350386e-14,-0.0749896530831233,0.713,0.662,7.79822882970545e-10,Unchanged
4.15309270128201e-14,0.116089593420727,0.487,0.404,8.92458090578491e-10,Unchanged
4.26670460283391e-14,0.177660559195465,0.513,0.449,9.16872152102978e-10,Unchanged
4.57333669409653e-14,0.147370778276663,0.443,0.492,9.82764322194403e-10,Unchanged
7.43343175894113e-14,-0.0228684709532592,0.635,0.614,1.59737015067886e-09,Unchanged
8.32131579157728e-14,0.234156298256414,0.461,0.315,1.78816755045204e-09,Unchanged
8.50559233330554e-14,0.18671385317207,0.461,0.446,1.82776673650403e-09,Unchanged
9.13624614332106e-14,-0.0241058315946141,0.878,0.978,1.96328793373826e-09,Unchanged
1.09214379210058e-13,0.306448801896822,0.696,0.648,2.34690779484494e-09,Unchanged
1.24415911245675e-13,-0.296896468387367,0.913,0.922,2.67357351675832e-09,Unchanged
1.30089171834188e-13,0.317566005478914,0.861,0.86,2.79548621354486e-09,Unchanged
1.37456726559768e-13,0.309951815176795,0.426,0.365,2.95380759704286e-09,Unchanged
1.57959186176278e-13,0.443661298516724,0.452,0.288,3.39438495174204e-09,Unchanged
1.63519856501688e-13,0.0702915081103055,0.539,0.447,3.51387819636477e-09,Unchanged
1.66601528246168e-13,0.480315450924076,0.426,0.235,3.58010024048191e-09,Unchanged
1.73029154566571e-13,0.249474243654136,0.426,0.306,3.71822350248105e-09,Unchanged
1.76077702059519e-13,1.49493183893802,0.809,0.557,3.78373373955701e-09,Unchanged
1.99508303640906e-13,0.842487246136633,0.652,0.375,4.28723393693943e-09,Unchanged
2.07475531586898e-13,-0.0870338205689429,0.713,0.766,4.45844169827086e-09,Unchanged
2.24152104913457e-13,0.222685920481166,0.591,0.543,4.81680458248527e-09,Unchanged
2.30281835584582e-13,-0.288463144680623,0.861,0.87,4.94852636487709e-09,Unchanged
2.32980812972679e-13,0.144966240350454,0.53,0.48,5.0065246899699e-09,Unchanged
2.72295629978638e-13,1.02069369497218,0.617,0.224,5.85136079261095e-09,Unchanged
2.94311171732623e-13,0.134607098023416,0.583,0.523,6.32445276936233e-09,Unchanged
3.41527380042848e-13,0.315878299474915,0.452,0.248,7.33908186974077e-09,Unchanged
3.92799745734289e-13,0.0628872758159034,0.835,0.778,8.44087373608413e-09,Unchanged
4.36725491293041e-13,0.172182699734516,0.904,0.863,9.38479408239615e-09,Unchanged
4.52848314240245e-13,0.785316225103201,0.496,0.128,9.73125742470862e-09,Unchanged
5.88141957500742e-13,-2.23820864791438,0.174,0.524,1.26385825247334e-08,Down-regulated
5.95159683639992e-13,-0.0554830848109809,0.722,0.693,1.27893864417398e-08,Unchanged
5.95270275584654e-13,-0.0407507847791035,0.652,0.666,1.27917629520386e-08,Unchanged
5.95980175492268e-13,-0.00175974208549823,0.609,0.557,1.28070179911534e-08,Unchanged
6.48167981497507e-13,-0.170667799903856,0.843,0.788,1.39284817543999e-08,Unchanged
7.25446131064596e-13,0.0633321336658483,0.643,0.67,1.55891119104471e-08,Unchanged
7.84946829672093e-13,-1.58284527875494,1,1,1.68677224228236e-08,Down-regulated
1.076733731636e-12,-0.192649098064086,0.783,0.832,2.3137931159126e-08,Unchanged
1.20419299535712e-12,0.0649551828418991,0.704,0.709,2.58769032772291e-08,Unchanged
1.3216150801928e-12,0.838456904584901,0.435,0.199,2.84001864582631e-08,Unchanged
1.44312456458838e-12,0.95763491282595,0.583,0.239,3.10113037684398e-08,Unchanged
1.45770805814282e-12,0.637148253823087,0.661,0.537,3.13246884614311e-08,Unchanged
1.62378026592127e-12,0.640412039977874,0.504,0.202,3.48934141343822e-08,Unchanged
3.28138523054886e-12,0.328096435389007,0.374,0.236,7.05136872192644e-08,Unchanged
3.71039954203432e-12,-0.301686540053017,0.765,0.889,7.97327757587754e-08,Unchanged
3.77766223929591e-12,-1.54375896646776,0.991,1,8.11781838602298e-08,Down-regulated
4.82579512587522e-12,0.570321467338926,0.452,0.179,1.03701511459933e-07,Unchanged
4.91342726003119e-12,0.524889900832172,0.861,0.766,1.0558463839081e-07,Unchanged
5.56015486046226e-12,0.183981964819589,0.417,0.317,1.19482167796473e-07,Unchanged
6.24234837986894e-12,0.555676475566606,0.504,0.184,1.34141824335004e-07,Unchanged
7.7677893293432e-12,0.0244852832681645,0.504,0.489,1.66922024898256e-07,Unchanged
8.653177012564e-12,0.0691253743399003,0.757,0.661,1.85948120822988e-07,Unchanged
9.35490311477585e-12,0.859072884025822,0.487,0.127,2.01027513033418e-07,Unchanged
9.44386530350451e-12,0.241701921004379,0.722,0.686,2.02939221507008e-07,Unchanged
9.7104272575585e-12,-1.8880292800958,0.009,0.331,2.08667371337675e-07,Down-regulated
1.12573416625526e-11,0.285065227083046,0.461,0.368,2.41909014986594e-07,Unchanged
1.30430611352505e-11,-0.449210472469711,0.948,0.946,2.80282340735398e-07,Unchanged
1.31162045669258e-11,0.0907441641078353,0.522,0.569,2.81854119938668e-07,Unchanged
1.35916998709002e-11,0.111588457894893,0.435,0.411,2.92072038525774e-07,Unchanged
1.39629282517788e-11,0.298742858736828,0.409,0.321,3.00049365202474e-07,Unchanged
1.61765652521822e-11,-0.165930467982788,1,0.999,3.47618210704144e-07,Unchanged
1.61817863650759e-11,-0.0550971918731995,0.696,0.707,3.47730407199116e-07,Unchanged
1.64865710602818e-11,0.442780167179608,0.409,0.19,3.54279925514396e-07,Unchanged
1.64877466450967e-11,-1.5315272171486,1,1,3.54305187656483e-07,Down-regulated
1.82753849734929e-11,0.742285788417425,0.557,0.284,3.92719747695389e-07,Unchanged
1.96402001304627e-11,0.121373937026057,0.539,0.441,4.22048260603512e-07,Unchanged
2.182868839881e-11,0.414725825450732,0.513,0.26,4.69076685002027e-07,Unchanged
2.62018669207027e-11,0.403537226852507,0.409,0.19,5.63051918258979e-07,Unchanged
2.66439927706529e-11,0.713644947729453,0.452,0.137,5.72552760648561e-07,Unchanged
2.77154780965349e-11,0.565639821241043,0.739,0.511,5.95577908816438e-07,Unchanged
2.84345644431376e-11,0.157635127122038,0.591,0.412,6.11030355318583e-07,Unchanged
3.46178973849241e-11,2.59770190375889,0.661,0.33,7.43903996904634e-07,Up-regulated
4.01250340795999e-11,-0.173142447088301,0.687,0.762,8.62246857336522e-07,Unchanged
4.05868893951862e-11,0.377390025336616,0.643,0.445,8.72171666213157e-07,Unchanged
4.244166710495e-11,1.28918329374465,0.591,0.191,9.1202898441827e-07,Unchanged
4.35195728319797e-11,-0.218257535887139,0.748,0.828,9.35192100586411e-07,Unchanged
4.46071833325666e-11,0.411831465458477,0.817,0.753,9.58563762633525e-07,Unchanged
4.49716775255797e-11,0.532082776088891,0.478,0.122,9.66396378347181e-07,Unchanged
5.02878971959586e-11,0.118521884738981,0.443,0.349,1.08063662284395e-06,Unchanged
5.46225744468116e-11,-1.48911144618023,0.226,0.622,1.17378450228753e-06,Unchanged
6.87781823205334e-11,0.165530422284429,0.461,0.332,1.47797435988594e-06,Unchanged
7.58858971765623e-11,0.189935882028033,0.487,0.378,1.63071204442715e-06,Unchanged
8.5559216461753e-11,0.287503224638974,0.591,0.458,1.83858200254661e-06,Unchanged
8.56555711011509e-11,0.327783465002721,0.878,0.815,1.84065256739263e-06,Unchanged
9.3844677683929e-11,0.493848650521304,0.426,0.155,2.01662827874995e-06,Unchanged
9.61175598237755e-11,-1.49251536842206,0.991,1,2.06547024305311e-06,Unchanged
1.07655958514822e-10,-0.670109166969382,1,0.993,2.31341889252501e-06,Unchanged
